company,ticker,error
meta platforms inc,,No data returned
taiwan semiconductor manufacturing co ltd,,No data returned
eli lilly & co,,No data returned
jpmorgan chase & co,,No data returned
novo nordisk a/s,,No data returned
tencent holdings ltd,,No data returned
johnson & johnson,,No data returned
samsung electronics co ltd,,No data returned
digital realty trust inc,,No data returned
salesforce inc,,No data returned
nextera energy inc,,No data returned
merck & co inc,,No data returned
wells fargo & co,,No data returned
cisco systems inc,,No data returned
advanced micro devices inc,,No data returned
servicenow inc,,No data returned
intuitive surgical inc,,No data returned
blackrock inc,,No data returned
sanofi sa,,No data returned
caterpillar inc,,No data returned
mitsubishi ufj financial group inc,,No data returned
simon property group inc,,No data returned
progressive corp/the,,No data returned
at&t inc,,No data returned
dsv a/s,,No data returned
t-mobile us inc,,No data returned
analog devices inc,,No data returned
gilead sciences inc,,No data returned
sk hynix inc,,No data returned
recruit holdings co ltd,,No data returned
palantir technologies inc,,No data returned
alexandria real estate equities inc,,No data returned
sumitomo mitsui financial group inc,,No data returned
goldman sachs group inc/the,,No data returned
applied materials inc,,No data returned
avalonbay communities inc,,No data returned
eaton corp plc,,No data returned
tokio marine holdings inc,,No data returned
holcim ag,,No data returned
icici bank ltd,,No data returned
micron technology inc,,No data returned
fiserv inc,,No data returned
kkr & co inc,,No data returned
arthur j gallagher & co,,No data returned
apollo global management inc,,No data returned
arista networks inc,,No data returned
sherwin-williams co/the,,No data returned
pnc financial services group inc/the,,No data returned
udr inc,,No data returned
charles schwab corp/the,,No data returned
sompo holdings inc,,No data returned
deere & co,,No data returned
marsh & mclennan cos inc,,No data returned
cadence design systems inc,,No data returned
mizuho financial group inc,,No data returned
elevance health inc,,No data returned
mediatek inc,,No data returned
intercontinental exchange inc,,No data returned
bharti airtel ltd,,No data returned
anz group holdings ltd,,No data returned
chubb ltd,,No data returned
bank of new york mellon corp/the,,No data returned
marvell technology inc,,No data returned
crowdstrike holdings inc,,No data returned
ge vernova inc,,No data returned
paypal holdings inc,,No data returned
motorola solutions inc,,No data returned
united parcel service inc,,No data returned
equinix inc,,No data returned
hon hai precision industry co ltd,,No data returned
mitsui & co ltd,,No data returned
charter communications inc,,No data returned
infosys ltd,,No data returned
muenchener rueckversicherungs-gesellschaft ag in muenchen,,No data returned
waste management inc,,No data returned
toronto-dominion bank/the,,No data returned
moody's corp,,No data returned
palo alto networks inc,,No data returned
blackstone inc,,No data returned
bxp inc,,No data returned
roper technologies inc,,No data returned
prologis inc,,No data returned
national australia bank ltd,,No data returned
canadian pacific kansas city ltd,,No data returned
sun communities inc,,No data returned
hong kong exchanges & clearing ltd,,No data returned
constellation software inc/canada,,No data returned
cigna group/the,,No data returned
e.on se,,No data returned
mitsubishi heavy industries ltd,,No data returned
daiichi sankyo co ltd,,No data returned
southern co/the,,No data returned
hca healthcare inc,,No data returned
mid-america apartment communities inc,,No data returned
teva pharmaceutical industries ltd,,No data returned
host hotels & resorts inc,,No data returned
regeneron pharmaceuticals inc,,No data returned
takeda pharmaceutical co ltd,,No data returned
us bancorp,,No data returned
zoom communications inc,,No data returned
becton dickinson & co,,No data returned
metlife inc,,No data returned
united rentals inc,,No data returned
fortinet inc,,No data returned
american international group inc,,No data returned
orsted as,,No data returned
cie de saint-gobain sa,,No data returned
bank central asia tbk pt,,No data returned
industrial & commercial bank of china ltd,,No data returned
ametek inc,,No data returned
novonesis (novozymes) b,,No data returned
lineage inc,,No data returned
waste connections inc,,No data returned
ameriprise financial inc,,No data returned
bank of nova scotia/the,,No data returned
danske bank a/s,,No data returned
equitable holdings inc,,No data returned
china merchants bank co ltd,,No data returned
nxp semiconductors nv,,No data returned
autodesk inc,,No data returned
workday inc,,No data returned
fidelity national information services inc,,No data returned
ansys inc,,No data returned
axis bank ltd,,No data returned
block inc,,No data returned
doordash inc,,No data returned
pg&e corp,,No data returned
oversea-chinese banking corp ltd,,No data returned
alnylam pharmaceuticals inc,,No data returned
synopsys inc,,No data returned
contemporary amperex technology co ltd,,No data returned
nippon telegraph & telephone corp,,No data returned
travelers cos inc/the,,No data returned
republic services inc,,No data returned
quanta services inc,,No data returned
sun pharmaceutical industries ltd,,No data returned
murata manufacturing co ltd,,No data returned
coinbase global inc,,No data returned
tyler technologies inc,,No data returned
ww grainger inc,,No data returned
verisk analytics inc,,No data returned
cbre group inc,,No data returned
monolithic power systems inc,,No data returned
old dominion freight line inc,,No data returned
datadog inc,,No data returned
everest group ltd,,No data returned
axon enterprise inc,,No data returned
ge healthcare technologies inc,,No data returned
americold realty trust inc,,No data returned
willis towers watson plc,,No data returned
akamai technologies inc,,No data returned
full truck alliance co ltd,,No data returned
essex property trust inc,,No data returned
ppg industries inc,,No data returned
dominion energy inc,,No data returned
ping an insurance group co of china ltd,,No data returned
kotak mahindra bank ltd,,No data returned
dai-ichi life holdings inc,,No data returned
gartner inc,,No data returned
nu holdings ltd/cayman islands,,No data returned
agilent technologies inc,,No data returned
entegris inc,,No data returned
unite group plc/the,,No data returned
fresenius se & co kgaa,,No data returned
tata consultancy services ltd,,No data returned
automatic data processing inc,,No data returned
mitsui fudosan co ltd,,No data returned
sandvik ab,,No data returned
bank of china ltd,,No data returned
meritz financial group inc,,No data returned
nasdaq inc,,No data returned
hubspot inc,,No data returned
hartford financial services group inc/the,,No data returned
idexx laboratories inc,,No data returned
costar group inc,,No data returned
macquarie group ltd,,No data returned
chugai pharmaceutical co ltd,,No data returned
consolidated edison inc,,No data returned
cipla ltd/india,,No data returned
national bank of kuwait sakp,,No data returned
sk square co ltd,,No data returned
kb financial group inc,,No data returned
dexcom inc,,No data returned
boc hong kong holdings ltd,,No data returned
ms&ad insurance group holdings inc,,No data returned
shinhan financial group co ltd,,No data returned
smith & nephew plc,,No data returned
resona holdings inc,,No data returned
pinterest inc,,No data returned
singapore telecommunications ltd,,No data returned
fubon financial holding co ltd,,No data returned
japan post holdings co ltd,,No data returned
fairfax financial holdings ltd,,No data returned
ventas inc,,No data returned
allstate corp/the,,No data returned
robinhood markets inc,,No data returned
iqvia holdings inc,,No data returned
techtronic industries co ltd,,No data returned
legal & general group plc,,No data returned
koninklijke kpn nv,,No data returned
otsuka holdings co ltd,,No data returned
groupe bruxelles lambert nv,,No data returned
telstra group ltd,,No data returned
keysight technologies inc,,No data returned
suncorp group ltd,,No data returned
bajaj finance ltd,,No data returned
coloplast a/s,,No data returned
m&t bank corp,,No data returned
sun hung kai properties ltd,,No data returned
brown & brown inc,,No data returned
lincoln electric holdings inc,,No data returned
china life insurance co ltd,,No data returned
astellas pharma inc,,No data returned
ctbc financial holding co ltd,,No data returned
netapp inc,,No data returned
martin marietta materials inc,,No data returned
emcor group inc,,No data returned
bank rakyat indonesia persero tbk pt,,No data returned
huntington bancshares inc/oh,,No data returned
picc property & casualty co ltd,,No data returned
xylem inc/ny,,No data returned
brambles ltd,,No data returned
first citizens bancshares inc/nc,,No data returned
zomato ltd,,No data returned
akeso inc,,No data returned
chaozhou three-circle group co ltd,,No data returned
icici lombard general insurance co ltd,,No data returned
intra-cellular therapies inc,,No data returned
american water works co inc,,No data returned
illumina inc,,No data returned
raymond james financial inc,,No data returned
mitsubishi estate co ltd,,No data returned
west pharmaceutical services inc,,No data returned
cathay financial holding co ltd,,No data returned
corebridge financial inc,,No data returned
nomura holdings inc,,No data returned
rockwell automation inc,,No data returned
rubrik inc,,No data returned
genmab a/s,,No data returned
wisetech global ltd,,No data returned
sf holding co ltd,,No data returned
sumitomo mitsui trust group inc,,No data returned
st james's place plc,,No data returned
xero ltd,,No data returned
hcl technologies ltd,,No data returned
aena sme sa,,No data returned
w r berkley corp,,No data returned
teradyne inc,,No data returned
cboe global markets inc,,No data returned
beijing new building materials plc,,No data returned
leidos holdings inc,,No data returned
info edge india ltd,,No data returned
baidu inc,,No data returned
grasim industries ltd,,No data returned
qbe insurance group ltd,,No data returned
juniper networks inc,,No data returned
cochlear ltd,,No data returned
packaging corp of america,,No data returned
cloudflare inc,,No data returned
delta electronics inc,,No data returned
divi's laboratories ltd,,No data returned
nippon paint holdings co ltd,,No data returned
m&g plc,,No data returned
link reit,,No data returned
salik co pjsc,,No data returned
secom co ltd,,No data returned
cardinal health inc,,No data returned
citizens financial group inc,,No data returned
equatorial energia sa,,No data returned
okta inc,,No data returned
natera inc,,No data returned
corpay inc,,No data returned
interactive brokers group inc,,No data returned
ck hutchison holdings ltd,,No data returned
japan post bank co ltd,,No data returned
samsung sdi co ltd,,No data returned
quanta computer inc,,No data returned
sumitomo realty & development co ltd,,No data returned
skyworks solutions inc,,No data returned
mitsui osk lines ltd,,No data returned
lenovo group ltd,,No data returned
finecobank banca fineco spa,,No data returned
toast inc,,No data returned
hd hyundai electric co ltd,,No data returned
pure storage inc,,No data returned
docusign inc,,No data returned
verisign inc,,No data returned
power corp of canada,,No data returned
tech mahindra ltd,,No data returned
t&d holdings inc,,No data returned
fisher & paykel healthcare corp ltd,,No data returned
cooper cos inc/the,,No data returned
principal financial group inc,,No data returned
wipro ltd,,No data returned
emirates nbd bank pjsc,,No data returned
public bank bhd,,No data returned
zimmer biomet holdings inc,,No data returned
nordnet ab publ,,No data returned
carlisle cos inc,,No data returned
bank mandiri persero tbk pt,,No data returned
warehouses de pauw cva,,No data returned
manhattan associates inc,,No data returned
ss&c technologies holdings inc,,No data returned
asustek computer inc,,No data returned
ememory technology inc,,No data returned
builders firstsource inc,,No data returned
comfort systems usa inc,,No data returned
china pacific insurance group co ltd,,No data returned
nutanix inc,,No data returned
zillow group inc,,No data returned
sage group plc/the,,No data returned
dynatrace inc,,No data returned
frontier communications parent inc,,No data returned
cimb group holdings bhd,,No data returned
cholamandalam investment and finance co ltd,,No data returned
xpo inc,,No data returned
unipol gruppo spa,,No data returned
mongodb inc,,No data returned
insurance australia group ltd,,No data returned
hongfa technology co ltd,,No data returned
grupo aeroportuario del sureste sab de cv,,No data returned
astera labs inc,,No data returned
icici prudential life insurance co ltd,,No data returned
fortis inc/canada,,No data returned
nkt a/s,,No data returned
wuxi biologics cayman inc,,No data returned
gaming and leisure properties inc,,No data returned
promotora y operadora de infraestructura sab de cv,,No data returned
jentech precision industrial co ltd,,No data returned
reinsurance group of america inc,,No data returned
mega financial holding co ltd,,No data returned
tryg a/s,,No data returned
glenmark pharmaceuticals ltd,,No data returned
computershare ltd,,No data returned
power grid corp of india ltd,,No data returned
epam systems inc,,No data returned
kasikornbank pcl,,No data returned
japan exchange group inc,,No data returned
dubai electricity & water authority pjsc,,No data returned
f5 inc,,No data returned
east west bancorp inc,,No data returned
yuanta financial holding co ltd,,No data returned
origin energy ltd,,No data returned
healthpeak properties inc,,No data returned
power assets holdings ltd,,No data returned
indusind bank ltd,,No data returned
hashicorp inc,,No data returned
moderna inc,,No data returned
lotes co ltd,,No data returned
equity lifestyle properties inc,,No data returned
acs actividades de construccion y servicios sa,,No data returned
fuji electric co ltd,,No data returned
shionogi & co ltd,,No data returned
telia co ab,,No data returned
fidelity national financial inc,,No data returned
coforge ltd,,No data returned
bizlink holding inc,,No data returned
logitech international sa,,No data returned
chunghwa telecom co ltd,,No data returned
ase technology holding co ltd,,No data returned
centerpoint energy inc,,No data returned
e.sun financial holding co ltd,,No data returned
sbi life insurance co ltd,,No data returned
bajaj finserv ltd,,No data returned
naura technology group co ltd,,No data returned
daifuku co ltd,,No data returned
hdfc life insurance co ltd,,No data returned
kansai electric power co inc/the,,No data returned
affirm holdings inc,,No data returned
gulf energy development pcl,,No data returned
flughafen zurich ag,,No data returned
procore technologies inc,,No data returned
vishay intertechnology inc,,No data returned
jb hunt transport services inc,,No data returned
chung-hsin electric & machinery manufacturing corp,,No data returned
assurant inc,,No data returned
shriram finance ltd,,No data returned
sbi holdings inc,,No data returned
max healthcare institute ltd,,No data returned
osaka gas co ltd,,No data returned
dupont de nemours inc,,No data returned
cdw corp/de,,No data returned
keisei electric railway co ltd,,No data returned
avantor inc,,No data returned
wuxi apptec co ltd,,No data returned
sonic healthcare ltd,,No data returned
auckland international airport ltd,,No data returned
eurobank ergasias services and holdings sa,,No data returned
clean harbors inc,,No data returned
wp carey inc,,No data returned
supreme industries ltd,,No data returned
largan precision co ltd,,No data returned
muthoot finance ltd,,No data returned
one 97 communications ltd,,No data returned
e ink holdings inc,,No data returned
asian paints ltd,,No data returned
shengyi technology co ltd,,No data returned
abu dhabi ports co pjsc,,No data returned
ch robinson worldwide inc,,No data returned
china resources land ltd,,No data returned
sinopac financial holdings co ltd,,No data returned
littelfuse inc,,No data returned
malayan banking bhd,,No data returned
ashok leyland ltd,,No data returned
hdfc asset management co ltd,,No data returned
molina healthcare inc,,No data returned
sk telecom co ltd,,No data returned
hologic inc,,No data returned
monday.com ltd,,No data returned
ck asset holdings ltd,,No data returned
applied industrial technologies inc,,No data returned
ap moller - maersk a/s,,No data returned
descartes systems group inc/the,,No data returned
sarepta therapeutics inc,,No data returned
annaly capital management inc,,No data returned
revvity inc,,No data returned
weir group plc/the,,No data returned
hydro one ltd,,No data returned
hana financial group inc,,No data returned
jiangsu zhongtian technology co ltd,,No data returned
zealand pharma a/s,,No data returned
car group ltd,,No data returned
keppel ltd,,No data returned
standardaero inc,,No data returned
daito trust construction co ltd,,No data returned
citic securities co ltd,,No data returned
american financial group inc/oh,,No data returned
tetra tech inc,,No data returned
lupin ltd,,No data returned
woodward inc,,No data returned
hd korea shipbuilding & offshore engineering co ltd,,No data returned
asia vital components co ltd,,No data returned
onestream inc,,No data returned
first financial holding co ltd,,No data returned
watsco inc,,No data returned
kingsoft corp ltd,,No data returned
innovent biologics inc,,No data returned
c&d international investment group ltd,,No data returned
globus medical inc,,No data returned
samsung fire & marine insurance co ltd,,No data returned
aptargroup inc,,No data returned
worldline sa/france,,No data returned
zhuzhou crrc times electric co ltd,,No data returned
sunrise communications ag/old,,No data returned
advanced info service pcl,,No data returned
stanley black & decker inc,,No data returned
sgh ltd,,No data returned
dr reddy's laboratories ltd,,No data returned
houlihan lokey inc,,No data returned
crown holdings inc,,No data returned
singapore exchange ltd,,No data returned
concordia financial group ltd,,No data returned
hong kong & china gas co ltd,,No data returned
dai nippon printing co ltd,,No data returned
t rowe price group inc,,No data returned
multi commodity exchange of india ltd,,No data returned
match group inc,,No data returned
doosan enerbility co ltd,,No data returned
godrej properties ltd,,No data returned
global health ltd/india,,No data returned
morningstar inc,,No data returned
hd hyundai heavy industries co ltd,,No data returned
ia financial corp inc,,No data returned
vaxcyte inc,,No data returned
kgi financial holding co ltd,,No data returned
acuity brands inc,,No data returned
omega healthcare investors inc,,No data returned
blue star ltd,,No data returned
julius baer group ltd,,No data returned
infratil ltd,,No data returned
ayala land inc,,No data returned
mphasis ltd,,No data returned
gamuda bhd,,No data returned
allison transmission holdings inc,,No data returned
international container terminal services inc,,No data returned
china yangtze power co ltd,,No data returned
tmx group ltd,,No data returned
prudential financial inc,,No data returned
telkom indonesia persero tbk pt,,No data returned
alteogen inc,,No data returned
exlservice holdings inc,,No data returned
hikari tsushin inc,,No data returned
spirit aerosystems holdings inc,,No data returned
jyske bank a/s,,No data returned
rexford industrial realty inc,,No data returned
expeditors international of washington inc,,No data returned
bill holdings inc,,No data returned
chubu electric power co inc,,No data returned
kbr inc,,No data returned
sofi technologies inc,,No data returned
tokyo gas co ltd,,No data returned
henry schein inc,,No data returned
chroma ate inc,,No data returned
essential utilities inc,,No data returned
elastic nv,,No data returned
pinnacle financial partners inc,,No data returned
bangkok bank pcl,,No data returned
broadridge financial solutions inc,,No data returned
fortune brands innovations inc,,No data returned
ringkjoebing landbobank a/s,,No data returned
eastgroup properties inc,,No data returned
daiwa securities group inc,,No data returned
qatar gas transport co ltd,,No data returned
shin kong financial holding co ltd,,No data returned
globe telecom inc,,No data returned
toppan holdings inc,,No data returned
core & main inc,,No data returned
elite material co ltd,,No data returned
british land co plc/the,,No data returned
graphic packaging holding co,,Status 429
rakuten bank ltd,,Status 429
iss a/s,,Status 429
api group corp,,Status 429
steadfast group ltd,,Status 429
ryder system inc,,Status 429
chart industries inc,,Status 429
glaukos corp,,Status 429
willscot holdings corp,,Status 429
corp inmobiliaria vesta sab de cv,,Status 429
b3 sa - brasil bolsa balcao,,Status 429
fuyao glass industry group co ltd,,Status 429
charles river laboratories international inc,,Status 429
polycab india ltd,,Status 429
voya financial inc,,Status 429
hanwha aerospace co ltd,,Status 429
eisai co ltd,,Status 429
worley ltd,,Status 429
ltimindtree ltd,,Status 429
wesco international inc,,Status 429
a o smith corp,,Status 429
intermediate capital group plc,,Status 429
mobileye global inc,,Status 429
hua nan financial holdings co ltd,,Status 429
universal display corp,,Status 429
chemed corp,,Status 429
gulf bank kscp,,Status 429
nebius group nv,,Status 429
telecom italia spa/milano,,Status 429
fabrinet,,Status 429
samsung c&t corp,,Status 429
azek co inc/the,,Status 429
wintrust financial corp,,Status 429
bank negara indonesia persero tbk pt,,Status 429
exelixis inc,,Status 429
rakuten group inc,,Status 429
west japan railway co,,Status 429
fresenius medical care ag,,Status 429
flowserve corp,,Status 429
singapore technologies engineering ltd,,Status 429
beacon roofing supply inc,,Status 429
makita corp,,Status 429
badger meter inc,,Status 429
element fleet management corp,,Status 429
maplebear inc,,Status 429
rambus inc,,Status 429
power finance corp ltd,,Status 429
nnn reit inc,,Status 429
jiangsu hengrui pharmaceuticals co ltd,,Status 429
asx ltd,,Status 429
eagle materials inc,,Status 429
yutong bus co ltd,,Status 429
selective insurance group inc,,Status 429
bancolombia sa,,Status 429
otsuka corp,,Status 429
open text corp,,Status 429
spx technologies inc,,Status 429
esr group ltd,,Status 429
bank leumi le-israel bm,,Status 429
hankyu hanshin holdings inc,,Status 429
revolution medicines inc,,Status 429
misumi group inc,,Status 429
lasertec corp,,Status 429
samsung biologics co ltd,,Status 429
getinge ab,,Status 429
pb fintech ltd,,Status 429
berry global group inc,,Status 429
georg fischer ag,,Status 429
kite realty group trust,,Status 429
generac holdings inc,,Status 429
bumrungrad hospital pcl,,Status 429
inventurus knowledge solutions ltd,,Status 429
ensign group inc/the,,Status 429
gold circuit electronics ltd,,Status 429
kei industries ltd,,Status 429
genpact ltd,,Status 429
first industrial realty trust inc,,Status 429
powszechna kasa oszczednosci bank polski sa,,Status 429
hiwin technologies corp,,Status 429
bollore se,,Status 429
lic housing finance ltd,,Status 429
sagax ab,,Status 429
hirose electric co ltd,,Status 429
ackermans & van haaren nv,,Status 429
kinsale capital group inc,,Status 429
rational ag,,Status 429
pro medicus ltd,,Status 429
japan metropolitan fund invest,,Status 429
axis capital holdings ltd,,Status 429
xp inc,,Status 429
onto innovation inc,,Status 429
axalta coating systems ltd,,Status 429
ipsen sa,,Status 429
taiwan cooperative financial holding co ltd,,Status 429
altagas ltd,,Status 429
kawasaki heavy industries ltd,,Status 429
shandong weigao group medical polymer co ltd,,Status 429
buzzi spa,,Status 429
sofina sa,,Status 429
compeq manufacturing co ltd,,Status 429
commerce bancshares inc/mo,,Status 429
advanced drainage systems inc,,Status 429
srisawad corp pcl,,Status 429
scholar rock holding corp,,Status 429
mgic investment corp,,Status 429
healthequity inc,,Status 429
swedish orphan biovitrum ab,,Status 429
agc inc,,Status 429
bankinter sa,,Status 429
mks instruments inc,,Status 429
swissquote group holding sa,,Status 429
alkem laboratories ltd,,Status 429
ati inc,,Status 429
nextdc ltd,,Status 429
yaskawa electric corp,,Status 429
siemens ltd,,Status 429
vicinity ltd,,Status 429
macom technology solutions holdings inc,,Status 429
yokogawa electric corp,,Status 429
ramsay health care ltd,,Status 429
international distribution services plc,,Status 429
janus henderson group plc,,Status 429
hyosung heavy industries corp,,Status 429
gigabyte technology co ltd,,Status 429
sectra ab,,Status 429
essential properties realty trust inc,,Status 429
amedisys inc,,Status 429
cyberagent inc,,Status 429
perrigo co plc,,Status 429
phison electronics corp,,Status 429
diasorin spa,,Status 429
sojitz corp,,Status 429
canon inc,,Status 429
rec ltd,,Status 429
banco comercial portugues sa,,Status 429
cemex sab de cv,,Status 429
skandinaviska enskilda banken ab,,Status 429
rotork plc,,Status 429
tcc group holdings co ltd,,Status 429
medibank pvt ltd,,Status 429
nexans sa,,Status 429
aaon inc,,Status 429
ig group holdings plc,,Status 429
stag industrial inc,,Status 429
helvetia holding ag,,Status 429
park24 co ltd,,Status 429
sentinelone inc,,Status 429
man group plc/jersey,,Status 429
ihi corp,,Status 429
summit materials inc,,Status 429
aalberts nv,,Status 429
bridgepoint group plc,,Status 429
orbia advance corp sab de cv,,Status 429
tritax big box reit plc,,Status 429
endesa sa,,Status 429
challenger ltd,,Status 429
knife river corp,,Status 429
kanzhun ltd,,Status 429
vontier corp,,Status 429
comerica inc,,Status 429
bilibili inc,,Status 429
phoenix group holdings plc,,Status 429
axiata group bhd,,Status 429
cembra money bank ag,,Status 429
daimler truck holding ag,,Status 429
turkiye garanti bankasi as,,Status 429
sydbank as,,Status 429
randstad nv,,Status 429
cognex corp,,Status 429
invesco ltd,,Status 429
cousins properties inc,,Status 429
franklin electric co inc,,Status 429
fortum oyj,,Status 429
bb seguridade participacoes sa,,Status 429
swiss life holding ag,,Status 429
franklin resources inc,,Status 429
roivant sciences ltd,,Status 429
dormakaba holding ag,,Status 429
safaricom plc,,Status 429
longfor group holdings ltd,,Status 429
thyssenkrupp ag,,Status 429
ariston holding nv,,Status 429
verra mobility corp,,Status 429
drax group plc,,Status 429
dentsply sirona inc,,Status 429
taiheiyo cement corp,,Status 429
j&t global express ltd,,Status 429
solaria energia y medio ambiente sa,,Status 429
neurocrine biosciences inc,,Status 429
goto gojek tokopedia tbk pt,,Status 429
carlyle group inc/the,,Status 429
omron corp,,Status 429
huhtamaki oyj,,Status 429
kinnevik ab,,Status 429
net one systems co ltd,,Status 429
bouygues sa,,Status 429
california water service group,,Status 429
adecco group ag,,Status 429
elia group sa/nv,,Status 429
jefferies financial group inc,,Status 429
quilter plc,,Status 429
nemetschek se,,Status 429
modine manufacturing co,,Status 429
sunrun inc,,Status 429
safestore holdings plc,,Status 429
nabtesco corp,,Status 429
fujitsu general ltd,,Status 429
siam cement pcl/the,,Status 429
svenska handelsbanken ab,,Status 429
allegro microsystems inc,,Status 429
national storage affiliates trust,,Status 429
acadia pharmaceuticals inc,,Status 429
hang lung properties ltd,,Status 429
vgp nv,,Status 429
industrie de nora spa,,Status 429
integrafin holdings plc,,Status 429
tanger inc,,Status 429
denali therapeutics inc,,Status 429
sprott inc,,Status 429
softwareone holding ag,,Status 429
pensionbee group plc,,Status 429
titan cement international sa,,Status 429
adani green energy ltd,,Status 429
schroders plc,,Status 429
credit agricole sa,,Status 429
powercell sweden ab,,Status 429
toro co/the,,Status 429
super micro computer inc,,Status 429
digitalbridge group inc,,Status 429
bentley systems inc,,Status 429
cogent communications holdings inc,,Status 429
telefonica brasil sa,,Status 429
mapfre sa,,Status 429
nikola corp,,Status 429
jbg smith properties,,Status 429
deutsche pfandbriefbank ag,,Status 429
paramount group inc,,Status 429
kbc group nv,,Status 429
celltrion inc,,Status 429
